Scientific.Name,sub-order,Family,DescriptionYear,MaxSVL_mm,MaxAvgBroodSize,Diet,ReproductMode,substrate,TreeImputed,Missing_MaxSVL,Missing_MaxAvgBroodSize,Missing_Diet,Missing_ReproductMode,Missing_substrate
Amphisbaena supernumeraria,Amphisbaenia,Amphisbaenidae,2009,195,,,,Fossorial,1,0,1,1,1,0
Amphisbaena talisiae,Amphisbaenia,Amphisbaenidae,1995,146,,,,Fossorial,1,0,1,1,1,0
Amphisbaena townsendi,Amphisbaenia,Amphisbaenidae,1911,252,,,,Fossorial,1,0,1,1,1,0
Amphisbaena tragorrhectes,Amphisbaenia,Amphisbaenidae,1971,110,,,,Fossorial,1,0,1,1,1,0
Amphisbaena uroxena,Amphisbaenia,Amphisbaenidae,2008,163,,,,Fossorial,1,0,1,1,1,0
Amphisbaena vanzolinii,Amphisbaenia,Amphisbaenidae,1963,153,,Carnivorous,Oviparous,Fossorial,1,0,1,0,0,0
Amphisbaena vermicularis,Amphisbaenia,Amphisbaenidae,1824,325,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Amphisbaena xera,Amphisbaenia,Amphisbaenidae,1966,245,,,,Fossorial,0,0,1,1,1,0
Ancylocranium barkeri,Amphisbaenia,Amphisbaenidae,1946,245,,Carnivorous,Oviparous,Fossorial,1,0,1,0,0,0
Ancylocranium ionidesi,Amphisbaenia,Amphisbaenidae,1955,328,,Carnivorous,Oviparous,*Fossorial (imputed),1,0,1,0,0,0
Ancylocranium somalicum,Amphisbaenia,Amphisbaenidae,1930,202,,,,*Fossorial (imputed),1,0,1,1,1,0
Baikia africana,Amphisbaenia,Amphisbaenidae,1865,206,,,,Fossorial,1,0,1,1,1,0
Bipes biporus,Amphisbaenia,Bipedidae,1894,240,2.15,Carnivorous,Oviparous,Fossorial&Terrestrial,0,0,0,0,0,0
Bipes canaliculatus,Amphisbaenia,Bipedidae,1801,240,2.8,Carnivorous,Oviparous,Fossorial&Terrestrial,0,0,0,0,0,0
Bipes tridactylus,Amphisbaenia,Bipedidae,1894,160,2.2,,Oviparous,Fossorial&Terrestrial,0,0,0,1,0,0
Blanus alexandri,Amphisbaenia,Blanidae,2014,200,,,,Fossorial,0,0,1,1,1,0
Blanus aporus,Amphisbaenia,Bipedidae,1898,252,,,,Fossorial,0,0,1,1,1,0
Blanus cinereus,Amphisbaenia,Blanidae,1797,254,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Blanus mettetali,Amphisbaenia,Blanidae,1963,210,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
